Site Name;Management Domain;ManageObject;Start Time;Ambient temperature;Daily irradiation;Device connection status;Irradiance;PV Temperature
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:25;36,1;1,395;Online;380;41,6
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:30;37;1,53;Online;408,2;42,8
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:35;39,1;1,672;Online;437,8;44,7
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:40;40,6;1,817;Online;454,6;45,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:45;42;1,97;Online;473,7;47,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:50;42,2;2,131;Online;484,1;48
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 07:55;41,5;2,298;Online;517;48,6
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:00;43,2;2,468;Online;562,5;50,7
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:05;43,9;2,659;Online;585,1;51,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:10;44,1;2,859;Online;603,5;53,4
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:15;44,6;3,06;Online;608,5;54
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:20;45,4;3,261;Online;620,4;54,7
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:25;47;3,47;Online;634,8;55,5
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:30;47,4;3,682;Online;641,5;56
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:35;47,8;3,894;Online;658;57,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:40;49,8;4,117;Online;680,5;58,6
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:45;48,6;4,347;Online;698,9;59,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:50;47,3;4,583;Online;729,8;59,4
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 08:55;48,1;4,831;Online;755,1;60,2
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 09:00;50,4;5,002;Online;210,1;54,5
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;20/11/2024 09:05;49,3;5,165;Online;797,2;52,9
